City,Type,Area,Price,Purpose,Location,Built in year,Electricity Backup,Floors,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Lawn or Garden,Luxury_Score
Karachi,Flat,267 Sq. Yd.,"PKR
8.25 Crore",For Sale,"Bath Island, Karachi, Sindh",,0.0,,4,4,1.0,1.0,,0
Karachi,Flat,511 Sq. Yd.,"PKR
10 Crore",For Sale,"Clifton, Karachi, Sindh",2024.0,0.0,,5,6,1.0,2.0,,0
Karachi,Flat,333 Sq. Yd.,"PKR
10.5 Crore",For Sale,"Clifton, Karachi, Sindh",2025.0,0.0,,4,6,1.0,2.0,,0
Karachi,House,250 Sq. Yd.,"PKR
6 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",,0.0,,-,-,,,,0
Karachi,Flat,244 Sq. Yd.,"PKR
6 Crore",For Sale,"Bath Island, Karachi, Sindh",2024.0,0.0,,3,4,1.0,1.0,,0
Karachi,Flat,356 Sq. Yd.,"PKR
10.4 Crore",For Sale,"Bath Island, Karachi, Sindh",2025.0,0.0,,4,6,1.0,2.0,,0
Karachi,Flat,256 Sq. Yd.,"PKR
6.65 Crore",For Sale,"Bath Island, Karachi, Sindh",2023.0,0.0,,3,4,1.0,1.0,,0
Karachi,Flat,467 Sq. Yd.,"PKR
7.1 Crore",For Sale,"Clifton, Karachi, Sindh",2022.0,0.0,,4,6,1.0,2.0,,0
Karachi,Flat,111 Sq. Yd.,"PKR
3.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2029.0,0.0,,1,2,1.0,1.0,,0
Karachi,Flat,117 Sq. Yd.,"PKR
1.32 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2015.0,0.0,,2,2,,1.0,,0
Karachi,House,500 Sq. Yd.,"PKR
23.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,3.0,6,5,,,,0
Karachi,House,"1,000 Sq. Yd.","PKR
42 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,3.0,6,6,,2.0,,0
Karachi,House,"1,000 Sq. Yd.","PKR
35 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,3.0,6,6,,,,0
Karachi,House,120 Sq. Yd.,"PKR
98 Lakh",For Sale,"Malir, Karachi, Sindh",2024.0,0.0,2.0,3,3,,2.0,,0
Karachi,House,100 Sq. Yd.,"PKR
81 Lakh",For Sale,"Gadap Town, Karachi, Sindh",2018.0,0.0,2.0,2,2,1.0,1.0,,0
Karachi,House,90 Sq. Yd.,"PKR
2.6 Crore",For Sale,"Liaquatabad, Karachi, Sindh",,0.0,,11,7,,1.0,,0
Karachi,Flat,244 Sq. Yd.,"PKR
4.75 Crore",For Sale,"Cosmopolitan Society, Karachi, Sindh",,0.0,,4,4,,1.0,,0
Karachi,House,500 Sq. Yd.,"PKR
9.75 Crore",For Sale,"Cantt, Karachi, Sindh",,0.0,,5,6,1.0,1.0,,0
Karachi,Flat,286 Sq. Yd.,"PKR
10.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2028.0,0.0,,3,4,1.0,1.0,,0
Karachi,Flat,161 Sq. Yd.,"PKR
3.15 Crore",For Sale,"DHA Defence, Karachi, Sindh",2028.0,0.0,,1,2,1.0,2.0,,0
Karachi,Flat,267 Sq. Yd.,"PKR
3.35 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2015.0,0.0,,3,4,1.0,1.0,,0
Karachi,House,120 Sq. Yd.,"PKR
3 Crore",For Sale,"Malir, Karachi, Sindh",2025.0,0.0,2.0,3,3,1.0,1.0,,0
Karachi,Flat,189 Sq. Yd.,"PKR
2.9 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2017.0,0.0,,3,4,2.0,1.0,,0
Karachi,Flat,267 Sq. Yd.,"PKR
3.4 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2016.0,0.0,,3,4,1.0,1.0,,0
Karachi,House,125 Sq. Yd.,"PKR
1.3 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2025.0,0.0,,4,4,1.0,1.0,,0
Karachi,Flat,289 Sq. Yd.,"PKR
9 Crore",For Sale,"Civil Lines, Karachi, Sindh",2023.0,0.0,,4,5,2.0,1.0,,0
Karachi,House,260 Sq. Yd.,"PKR
6.5 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",,0.0,,6,6,,,,0
Karachi,Flat,256 Sq. Yd.,"PKR
6.5 Crore",For Sale,"Bath Island, Karachi, Sindh",2018.0,0.0,,3,4,1.0,1.0,,0
Karachi,Flat,311 Sq. Yd.,"PKR
5.75 Crore",For Sale,"Clifton, Karachi, Sindh",2022.0,0.0,,4,6,1.0,2.0,,0
Karachi,Flat,244 Sq. Yd.,"PKR
5 Crore",For Sale,"Clifton, Karachi, Sindh",2023.0,0.0,,4,5,1.0,1.0,,0
Karachi,Flat,400 Sq. Yd.,"PKR
10 Crore",For Sale,"Clifton, Karachi, Sindh",2028.0,0.0,,4,6,1.0,2.0,,0
